Datetime,Date,Month_Name,Month_Num,Quarter,Day_Of_Week,Hour,Truck_ID,Truck_Number,Latitude,Longitude,Shipment_Status,On_Time_Label,Is_Delayed,Delay_Reason,Traffic_Condition,Temperature,Humidity,Waiting_Time_Min,Inventory_Level,Demand_Forecast,Inventory_Surplus,Inventory_Status,Utilization_Pct,Transaction_Amount,Purchase_Frequency
2024-03-20 00:11:14,2024-03-20,Mar 2024,2024-03,Q1,Wednesday,0,Truck_7,7,-65.7383,11.2497,Delayed,Delayed,1,,Detour,27.0,67.8,38,390,285,105,Surplus,60.1,320,4
2024-10-30 07:53:51,2024-10-30,Oct 2024,2024-10,Q4,Wednesday,7,Truck_6,6,22.2748,-131.7086,In Transit,Delayed,1,Weather,Heavy,22.5,54.3,16,491,174,317,Surplus,80.9,439,7
2024-07-29 18:42:48,2024-07-29,Jul 2024,2024-07,Q3,Monday,18,Truck_10,10,54.9232,79.5455,In Transit,On Time,0,,Detour,25.2,62.2,34,190,260,-70,Deficit,99.2,355,3
2024-10-28 00:50:54,2024-10-28,Oct 2024,2024-10,Q4,Monday,0,Truck_9,9,42.39,-1.4788,Delivered,Delayed,1,Traffic,Heavy,25.4,52.3,37,330,160,170,Surplus,97.4,227,5
2024-09-27 15:52:58,2024-09-27,Sep 2024,2024-09,Q3,Friday,15,Truck_7,7,-65.8477,47.9468,Delayed,Delayed,1,,Clear,20.5,57.2,56,480,270,210,Surplus,71.6,197,6
2024-09-17 06:02:15,2024-09-17,Sep 2024,2024-09,Q3,Tuesday,6,Truck_7,7,73.3312,46.5831,In Transit,On Time,0,,Clear,24.3,61.8,56,118,189,-71,Deficit,66.8,258,10
2024-02-05 08:38:56,2024-02-05,Feb 2024,2024-02,Q1,Monday,8,Truck_4,4,27.9307,147.5317,Delayed,Delayed,1,,Clear,20.7,75.4,32,480,198,282,Surplus,73.3,263,3
2024-09-28 09:08:23,2024-09-28,Sep 2024,2024-09,Q3,Saturday,9,Truck_9,9,46.5643,-126.5348,In Transit,On Time,0,Traffic,Detour,23.3,64.2,30,222,253,-31,Deficit,73.8,459,9
2024-01-18 08:27:04,2024-01-18,Jan 2024,2024-01,Q1,Thursday,8,Truck_9,9,-83.6737,-31.7125,Delivered,On Time,0,,Clear,26.4,77.2,14,245,206,39,Surplus,69.6,183,2
2024-11-09 00:48:26,2024-11-09,Nov 2024,2024-11,Q4,Saturday,0,Truck_2,2,54.1683,-135.2676,In Transit,On Time,0,Mechanical Failure,Clear,21.9,57.3,52,389,224,165,Surplus,63.1,127,7
2024-01-09 23:19:43,2024-01-09,Jan 2024,2024-01,Q1,Tuesday,23,Truck_9,9,82.9633,-154.5274,Delayed,Delayed,1,,Clear,22.0,53.5,28,319,171,148,Surplus,69.8,360,4
2024-02-02 22:28:16,2024-02-02,Feb 2024,2024-02,Q1,Friday,22,Truck_10,10,-25.2768,156.1262,Delivered,On Time,0,Traffic,Detour,29.7,63.6,13,234,238,-4,Deficit,85.5,406,10
2024-02-17 21:14:42,2024-02-17,Feb 2024,2024-02,Q1,Saturday,21,Truck_8,8,-65.526,-3.0202,In Transit,On Time,0,Weather,Detour,21.5,74.2,38,154,114,40,Surplus,84.4,215,3
2024-03-04 06:44:50,2024-03-04,Mar 2024,2024-03,Q1,Monday,6,Truck_2,2,-26.1836,-30.3641,Delivered,On Time,0,,Detour,27.3,71.6,30,348,115,233,Surplus,96.4,211,2
2024-08-28 12:19:14,2024-08-28,Aug 2024,2024-08,Q3,Wednesday,12,Truck_3,3,2.6709,-80.8879,In Transit,Delayed,1,Weather,Heavy,25.1,76.8,54,163,231,-68,Deficit,93.2,320,5
2024-01-04 22:52:43,2024-01-04,Jan 2024,2024-01,Q1,Thursday,22,Truck_5,5,-22.4793,-54.5143,Delayed,Delayed,1,Traffic,Clear,23.7,68.1,45,130,256,-126,Deficit,84.1,487,4
2024-10-30 17:52:03,2024-10-30,Oct 2024,2024-10,Q4,Wednesday,17,Truck_4,4,-34.5353,-40.8617,Delayed,Delayed,1,Traffic,Clear,21.6,72.5,58,391,170,221,Surplus,61.5,298,7
2024-07-15 15:42:02,2024-07-15,Jul 2024,2024-07,Q3,Monday,15,Truck_7,7,-8.7105,-17.8347,Delayed,Delayed,1,,Detour,21.4,53.5,23,344,106,238,Surplus,93.4,461,9
2024-01-19 06:42:30,2024-01-19,Jan 2024,2024-01,Q1,Friday,6,Truck_5,5,14.6629,116.0696,Delayed,Delayed,1,,Detour,27.5,66.6,29,409,204,205,Surplus,72.6,492,3
2024-04-28 21:23:34,2024-04-28,Apr 2024,2024-04,Q2,Sunday,21,Truck_10,10,75.7743,108.9425,In Transit,On Time,0,Traffic,Clear,25.5,75.9,21,457,248,209,Surplus,83.4,315,3
2024-03-06 20:00:26,2024-03-06,Mar 2024,2024-03,Q1,Wednesday,20,Truck_5,5,50.3419,108.5647,Delivered,On Time,0,Mechanical Failure,Detour,29.3,59.4,31,207,195,12,Surplus,65.9,174,5
2024-11-20 16:38:07,2024-11-20,Nov 2024,2024-11,Q4,Wednesday,16,Truck_8,8,-6.6729,132.6727,Delivered,Delayed,1,Mechanical Failure,Heavy,19.4,53.2,20,155,235,-80,Deficit,99.3,152,1
